path,count,file_count,types,droidbot_count,haptest_count,sample1,sample2,sample3
event,3491,3491,object,3388,103,,,
event.event_type,3388,3388,str,3388,0,'kill_app','intent','touch'
event.log_lines,3388,3388,null,3388,0,None,None,None
event_str,3388,3388,str,3388,0,'KillAppEvent()',"""IntentEvent(intent='am start com.tencent.mm/com.tencent.mm.ui.LauncherUI')""","'TouchEvent(state=342e30dfaa4929e29c7b0e599e414076, view=46e950013b3546bfe101..."
start_state,3388,3388,str,3388,0,'c24a02dac066d0df1eb6b54d9fb71458','32cadf9973d6d3b6000004c89ecde7d0','342e30dfaa4929e29c7b0e599e414076'
stop_state,3388,3388,str,3388,0,'c24a02dac066d0df1eb6b54d9fb71458','51eff3843b8e639b4fd14760046fe834','d6cbafb84d5d1e843c5c796bfd13a7f5'
tag,3388,3388,str,3388,0,'2026-03-03_192923','2026-03-03_192929','2026-03-03_192933'
event.name,3327,3327,str,3327,0,'BACK','BACK','BACK'
to.viewTree.root.children[].children[].children[].children[].children[].bounds[].x,2746,99,int,0,2746,631,1138,683
to.viewTree.root.children[].children[].children[].children[].children[].bounds[].y,2746,99,int,0,2746,308,485,485
to.viewTree.root.children[].children[].children[].children[].children[].origBounds[].x,2746,99,int,0,2746,631,1138,683
to.viewTree.root.children[].children[].children[].children[].children[].origBounds[].y,2746,99,int,0,2746,308,485,485
from.viewTree.root.children[].children[].children[].children[].children[].bounds[].x,2716,98,int,0,2716,631,1138,683
from.viewTree.root.children[].children[].children[].children[].children[].bounds[].y,2716,98,int,0,2716,308,485,485
from.viewTree.root.children[].children[].children[].children[].children[].origBounds[].x,2716,98,int,0,2716,631,1138,683
from.viewTree.root.children[].children[].children[].children[].children[].origBounds[].y,2716,98,int,0,2716,308,485,485
to.viewTree.root.children[].children[].children[].children[].bounds[].x,1730,103,int,0,1730,878,957,1034
to.viewTree.root.children[].children[].children[].children[].bounds[].y,1730,103,int,0,1730,178,256,178
to.viewTree.root.children[].children[].children[].children[].origBounds[].x,1730,103,int,0,1730,878,957,1034
to.viewTree.root.children[].children[].children[].children[].origBounds[].y,1730,103,int,0,1730,178,256,178
from.viewTree.root.children[].children[].children[].children[].bounds[].x,1712,102,int,0,1712,878,957,1034
from.viewTree.root.children[].children[].children[].children[].bounds[].y,1712,102,int,0,1712,178,256,178
from.viewTree.root.children[].children[].children[].children[].origBounds[].x,1712,102,int,0,1712,878,957,1034
from.viewTree.root.children[].children[].children[].children[].origBounds[].y,1712,102,int,0,1712,178,256,178
to.viewTree.root.children[].children[].children[].children[].children[].bounds,1373,99,list,0,1373,,,
to.viewTree.root.children[].children[].children[].children[].children[].bounds[],1373,99,list,0,1373,,,
to.viewTree.root.children[].children[].children[].children[].children[].checkable,1373,99,bool,0,1373,False,False,False
to.viewTree.root.children[].children[].children[].children[].children[].checked,1373,99,bool,0,1373,False,False,False
to.viewTree.root.children[].children[].children[].children[].children[].children,1373,99,list,0,1373,,,
to.viewTree.root.children[].children[].children[].children[].children[].children[],1373,99,list,0,1373,,,
to.viewTree.root.children[].children[].children[].children[].children[].clickable,1373,99,bool,0,1373,True,False,True
to.viewTree.root.children[].children[].children[].children[].children[].enabled,1373,99,bool,0,1373,True,True,True
to.viewTree.root.children[].children[].children[].children[].children[].focused,1373,99,bool,0,1373,False,False,False
to.viewTree.root.children[].children[].children[].children[].children[].hint,1373,99,str,0,1373,'','',''
to.viewTree.root.children[].children[].children[].children[].children[].id,1373,99,str,0,1373,'','',''
to.viewTree.root.children[].children[].children[].children[].children[].key,1373,99,str,0,1373,'','',''
to.viewTree.root.children[].children[].children[].children[].children[].longClickable,1373,99,bool,0,1373,False,False,False
to.viewTree.root.children[].children[].children[].children[].children[].origBounds,1373,99,list,0,1373,,,
to.viewTree.root.children[].children[].children[].children[].children[].origBounds[],1373,99,list,0,1373,,,
to.viewTree.root.children[].children[].children[].children[].children[].scrollable,1373,99,bool,0,1373,False,False,False
to.viewTree.root.children[].children[].children[].children[].children[].selected,1373,99,bool,0,1373,False,False,False
to.viewTree.root.children[].children[].children[].children[].children[].text,1373,99,str,0,1373,'批量删除','','连接设备'
to.viewTree.root.children[].children[].children[].children[].children[].type,1373,99,str,0,1373,'Text','Divider','Text'
to.viewTree.root.children[].children[].children[].children[].children[].visible,1373,99,bool,0,1373,True,True,True
from.viewTree.root.children[].children[].children[].children[].children[].bounds,1358,98,list,0,1358,,,
